TV_Manufacturing_Brand,DATE,DEMAND ,CPI,CCI,PPI,Unit_Price,Supply_Data,SALES,Cost_SMS,Cost_Newspaper,Cost_Radio,Cost_TV,Cost_Internet,GRP_NewPaper,GRP_SMS,GRP_Radio,GRP_Internet,GRP_TV
TV Manufacturing & Supplier Unit,2010-01-01,4384,"104,9","96,3","106,7","361,62",4240,"1533268,80","77,48","14,10","112,34","1479,46","722,57","95,333","11,8398",91,"276,3636","756,5909"
TV Manufacturing & Supplier Unit,2010-01-02,4366,"104,9","96,3","106,7","361,62",4266,"1542670,92","73,48","13,30","105,71","1369,89","717,86","114,957","27,8039","111,9091","291,3182","860,1364"
TV Manufacturing & Supplier Unit,2010-01-03,4006,"104,9","96,3","106,7","361,62",4206,"1520973,72","80,61","13,20","108,77","1428,06","653,33","113,09",0,"94,6364","282,7273","751,9545"
TV Manufacturing & Supplier Unit,2010-01-04,4076,"104,9","96,3","106,7","361,62",4176,"1510125,12","65,93","12,72","93,31","1309,35","622,10","72,442",0,"98,5909","306,3182","749,4545"
TV Manufacturing & Supplier Unit,2010-01-05,4834,"104,9","96,3","106,7","361,62",5234,"1892719,08","77,48","14,10","112,34","1479,46","722,57","95,333","11,8398",91,"276,3636","756,5909"
TV Manufacturing & Supplier Unit,2010-01-06,4636,"104,9","96,3","106,7","361,62",4446,"1607762,52","73,48","13,30","105,71","1369,89","717,86","114,957","27,8039","111,9091","291,3182","860,1364"
TV Manufacturing & Supplier Unit,2010-01-07,4166,"104,9","96,3","106,7","361,62",4346,"1571600,52","80,61","13,20","108,77","1428,06","653,33","113,09",0,"94,6364","282,7273","751,9545"
TV Manufacturing & Supplier Unit,2010-01-08,4186,"104,9","96,3","106,7","361,62",4216,"1524589,92","65,93","12,72","93,31","1309,35","622,10","72,442",0,"98,5909","306,3182","749,4545"
TV Manufacturing & Supplier Unit,2010-01-09,4405,"104,9","96,3","106,7","361,62",4505,"1629098,10","89,73","13,79","117,64","1417,01","624,24","87,649",0,"105,0455","306,4545","754,2727"
TV Manufacturing & Supplier Unit,2010-01-10,5561,"104,9","96,3","106,7","361,62",5661,"2047130,82","68,81","12,58","91,61","1334,34","611,71","38,235",0,108,"305,9545","776,6364"
